"material_type","county","total_residential_tons"
"HDPE Plastic Containers","Lassen (Countywide)",35
"Miscellaneous Plastic Containers","Lassen (Countywide)",37
"Plastic Trash Bags","Lassen (Countywide)",92
"Plastic Grocery and Other Merchandise Bags","Lassen (Countywide)",44
"Non-Bag Commercial and Industrial Packaging Film","Lassen (Countywide)",11
"Film Products","Lassen (Countywide)",0
"Other Film - Other","Lassen (Countywide)",152
"Durable Plastic Items - #2 and #5 Bulky Rigids","Lassen (Countywide)",42
"Durable Plastic Items - Other","Lassen (Countywide)",61
"Remainder / Composite Plastic","Lassen (Countywide)",135
"PETE Plastic Containers","Los Angeles (Countywide)",18613
"HDPE Plastic Containers","Los Angeles (Countywide)",10830
"Miscellaneous Plastic Containers","Los Angeles (Countywide)",14292
"Plastic Trash Bags","Los Angeles (Countywide)",26436
"Plastic Grocery and Other Merchandise Bags","Los Angeles (Countywide)",18491
"Non-Bag Commercial and Industrial Packaging Film","Los Angeles (Countywide)",3044
"Film Products","Los Angeles (Countywide)",14
"Other Film - Other","Los Angeles (Countywide)",44069
"Durable Plastic Items - #2 and #5 Bulky Rigids","Los Angeles (Countywide)",7699
"Durable Plastic Items - Other","Los Angeles (Countywide)",40038
"Remainder / Composite Plastic","Los Angeles (Countywide)",62597
"PETE Plastic Containers","Madera (Countywide)",361
"HDPE Plastic Containers","Madera (Countywide)",297
"Miscellaneous Plastic Containers","Madera (Countywide)",321
"Plastic Trash Bags","Madera (Countywide)",555
"Plastic Grocery and Other Merchandise Bags","Madera (Countywide)",459
"Non-Bag Commercial and Industrial Packaging Film","Madera (Countywide)",39
"Film Products","Madera (Countywide)",58
"Other Film - Other","Madera (Countywide)",914
"Durable Plastic Items - #2 and #5 Bulky Rigids","Madera (Countywide)",406
"Durable Plastic Items - Other","Madera (Countywide)",366
"Remainder / Composite Plastic","Madera (Countywide)",1131
"PETE Plastic Containers","Marin (Countywide)",431
"HDPE Plastic Containers","Marin (Countywide)",280
"Miscellaneous Plastic Containers","Marin (Countywide)",474
"Plastic Trash Bags","Marin (Countywide)",921
"Plastic Grocery and Other Merchandise Bags","Marin (Countywide)",440
"Non-Bag Commercial and Industrial Packaging Film","Marin (Countywide)",151
"Film Products","Marin (Countywide)",29
"Other Film - Other","Marin (Countywide)",1561
"Durable Plastic Items - #2 and #5 Bulky Rigids","Marin (Countywide)",217
"Durable Plastic Items - Other","Marin (Countywide)",552
"Remainder / Composite Plastic","Marin (Countywide)",1456
"PETE Plastic Containers","Mariposa (Countywide)",47
"HDPE Plastic Containers","Mariposa (Countywide)",26
"Miscellaneous Plastic Containers","Mariposa (Countywide)",28
"Plastic Trash Bags","Mariposa (Countywide)",68
"Plastic Grocery and Other Merchandise Bags","Mariposa (Countywide)",34
"Non-Bag Commercial and Industrial Packaging Film","Mariposa (Countywide)",8
"Film Products","Mariposa (Countywide)",0
"Other Film - Other","Mariposa (Countywide)",113
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mariposa (Countywide)",30
"Durable Plastic Items - Other","Mariposa (Countywide)",47
"Remainder / Composite Plastic","Mariposa (Countywide)",105
"PETE Plastic Containers","Mendocino (Countywide)",167
"HDPE Plastic Containers","Mendocino (Countywide)",91
"Miscellaneous Plastic Containers","Mendocino (Countywide)",140
"Plastic Trash Bags","Mendocino (Countywide)",344
"Plastic Grocery and Other Merchandise Bags","Mendocino (Countywide)",107
"Non-Bag Commercial and Industrial Packaging Film","Mendocino (Countywide)",35
"Film Products","Mendocino (Countywide)",0
"Other Film - Other","Mendocino (Countywide)",554
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mendocino (Countywide)",62
"Durable Plastic Items - Other","Mendocino (Countywide)",182
"Remainder / Composite Plastic","Mendocino (Countywide)",523
"PETE Plastic Containers","Merced (Countywide)",648
"HDPE Plastic Containers","Merced (Countywide)",527
"Miscellaneous Plastic Containers","Merced (Countywide)",573
"Plastic Trash Bags","Merced (Countywide)",990
"Plastic Grocery and Other Merchandise Bags","Merced (Countywide)",818
"Non-Bag Commercial and Industrial Packaging Film","Merced (Countywide)",72
"Film Products","Merced (Countywide)",101
"Other Film - Other","Merced (Countywide)",1637
"Durable Plastic Items - #2 and #5 Bulky Rigids","Merced (Countywide)",710
"Durable Plastic Items - Other","Merced (Countywide)",661
"Remainder / Composite Plastic","Merced (Countywide)",2041
"PETE Plastic Containers","Modoc (Countywide)",25
"HDPE Plastic Containers","Modoc (Countywide)",14
"Miscellaneous Plastic Containers","Modoc (Countywide)",15
"Plastic Trash Bags","Modoc (Countywide)",37
"Plastic Grocery and Other Merchandise Bags","Modoc (Countywide)",18
"Non-Bag Commercial and Industrial Packaging Film","Modoc (Countywide)",5
"Film Products","Modoc (Countywide)",0
"Other Film - Other","Modoc (Countywide)",61
"Durable Plastic Items - #2 and #5 Bulky Rigids","Modoc (Countywide)",17
"Durable Plastic Items - Other","Modoc (Countywide)",25
"Remainder / Composite Plastic","Modoc (Countywide)",53
"PETE Plastic Containers","Mono (Countywide)",35
"HDPE Plastic Containers","Mono (Countywide)",19
"Miscellaneous Plastic Containers","Mono (Countywide)",21
"Plastic Trash Bags","Mono (Countywide)",49
"Plastic Grocery and Other Merchandise Bags","Mono (Countywide)",27
"Non-Bag Commercial and Industrial Packaging Film","Mono (Countywide)",6
"Film Products","Mono (Countywide)",0
"Other Film - Other","Mono (Countywide)",84
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mono (Countywide)",19
"Durable Plastic Items - Other","Mono (Countywide)",36
"Remainder / Composite Plastic","Mono (Countywide)",87
"PETE Plastic Containers","Monterey (Countywide)",795
"HDPE Plastic Containers","Monterey (Countywide)",433
"Miscellaneous Plastic Containers","Monterey (Countywide)",674
"Plastic Trash Bags","Monterey (Countywide)",1687
"Plastic Grocery and Other Merchandise Bags","Monterey (Countywide)",492
"Non-Bag Commercial and Industrial Packaging Film","Monterey (Countywide)",169
"Film Products","Monterey (Countywide)",2
"Other Film - Other","Monterey (Countywide)",2696
"Durable Plastic Items - #2 and #5 Bulky Rigids","Monterey (Countywide)",304
"Durable Plastic Items - Other","Monterey (Countywide)",858
"Remainder / Composite Plastic","Monterey (Countywide)",2458
