county,material_tons_disposed,material_tons_in_curbside_recycle,material_tons_in_curbside_organics,material_tons_in_other_diversion,material_tons_generated_sum_of_all_streams,resin_type
Napa,1514.9540434609385,164.03148080616683,2.101160877521393,20.52715076557876,1701.6138359102058,HDPE
Nevada,561.082477227862,70.15703546007596,0.9264492292044737,10.906997166186278,643.0729590833287,HDPE
Orange,31917.70045130158,3718.0149835070397,39.28758066797768,467.10188231025626,36142.104897786856,HDPE
Placer,3080.451088329734,335.45616129177984,4.448972315205902,44.10932918318153,3464.465551119901,HDPE
Plumas,108.86451896786218,15.900413111031328,0.16173246342261124,2.079415153354553,127.00607969567066,HDPE
Riverside,12949.107566513701,1661.6967852325602,17.484027279901124,200.13560552828335,14828.423984554443,HDPE
Sacramento,11386.967458377336,1522.3133921168408,15.494013739549485,148.37445169736637,13073.149315931092,HDPE
San Benito,292.460809341577,32.86108053194845,0.37862987609138016,11.019629129471797,336.7201488790885,HDPE
San Bernardino,12797.719424651266,1534.2057301207583,17.960681202400586,212.40311977778873,14562.288955752214,HDPE
San Diego,30132.862966037726,3816.711016294554,38.26020804326552,394.06839063834343,34381.9025810139,HDPE
San Francisco,15356.705244056466,1902.611894621344,17.02817126119305,155.6334907826643,17431.97880072167,HDPE
San Joaquin,4119.585831371025,457.9234127570765,5.244707112641155,62.70578582252565,4645.459737063269,HDPE
San Luis Obispo,2234.9212102973756,277.1380639710932,3.3515030227630134,32.73981998335032,2548.150597274582,HDPE
San Mateo,8441.974700770632,980.6031720092665,9.516804955370375,116.38742754722576,9548.482105282494,HDPE
Santa Barbara,3788.9084017065306,466.0664150232184,5.184914208006296,56.326051804478254,4316.485782742234,HDPE
Santa Clara,20622.206162076633,2335.8721329080126,22.848150666065866,331.60919813187456,23312.535643782587,HDPE
Santa Cruz,1973.891191627438,235.7725415923131,2.9026235568477974,34.146627396232155,2246.712984172831,HDPE
Shasta,1250.068041501055,157.722230569384,1.88434486463809,17.826370174286634,1427.5009871093635,HDPE
Sierra,4.235819443354389,0.8355961722960853,8.218450429239748e-4,0.022814170912337606,5.095051631605736,HDPE
Siskiyou,241.0539837123635,35.31495801454914,0.3356000360242795,3.620043988640677,280.32458575157756,HDPE
Solano,2507.989796316154,301.2582921980009,3.8295521257804044,38.70603068371458,2851.78367132365,HDPE
Sonoma,4059.9358847123704,471.3999353375585,5.555827734249878,71.29898533400532,4608.190633118184,HDPE
Stanislaus,3449.3672583345524,358.3527896648414,4.875380360499284,48.697029828829216,3861.292458188723,HDPE
Sutter,561.864814317835,63.28167675020671,0.7235923339371477,6.90172434736866,632.7718077493474,HDPE
