"material_type","county","material_tons_generated_sum_of_all_streams"
"Remainder / Composite Plastic","Humboldt (Countywide)",1987.97111262936
"PETE Plastic Containers","Imperial (Countywide)",546.323601125027
"HDPE Plastic Containers","Imperial (Countywide)",328.322125423719
"Miscellaneous Plastic Containers","Imperial (Countywide)",266.939363119455
"Plastic Trash Bags","Imperial (Countywide)",1153.6859829417
"Plastic Grocery and Other Merchandise Bags","Imperial (Countywide)",211.880802187081
"Non-Bag Commercial and Industrial Packaging Film","Imperial (Countywide)",430.955292678104
"Film Products","Imperial (Countywide)",30.4972412112533
"Other Film - Other","Imperial (Countywide)",1354.38521520657
"Durable Plastic Items - #2 and #5 Bulky Rigids","Imperial (Countywide)",181.083730237376
"Durable Plastic Items - Other","Imperial (Countywide)",695.078350961824
"Remainder / Composite Plastic","Imperial (Countywide)",2289.44774817975
"PETE Plastic Containers","Inyo (Countywide)",99.7129396484803
"HDPE Plastic Containers","Inyo (Countywide)",59.76385436264
"Miscellaneous Plastic Containers","Inyo (Countywide)",47.755440531166
"Plastic Trash Bags","Inyo (Countywide)",193.499410042306
"Plastic Grocery and Other Merchandise Bags","Inyo (Countywide)",35.2138839819129
"Non-Bag Commercial and Industrial Packaging Film","Inyo (Countywide)",49.3162047783823
"Film Products","Inyo (Countywide)",4.37664192384724
"Other Film - Other","Inyo (Countywide)",220.462676914007
"Durable Plastic Items - #2 and #5 Bulky Rigids","Inyo (Countywide)",31.0065846127285
"Durable Plastic Items - Other","Inyo (Countywide)",93.632009313987
"Remainder / Composite Plastic","Inyo (Countywide)",364.897452057769
"PETE Plastic Containers","Kern (Countywide)",2360.91965006055
"HDPE Plastic Containers","Kern (Countywide)",1527.15524340133
"Miscellaneous Plastic Containers","Kern (Countywide)",1247.75981421785
"Plastic Trash Bags","Kern (Countywide)",5510.92927719402
"Plastic Grocery and Other Merchandise Bags","Kern (Countywide)",847.004525480388
"Non-Bag Commercial and Industrial Packaging Film","Kern (Countywide)",2271.59464292905
"Film Products","Kern (Countywide)",169.920969760649
"Other Film - Other","Kern (Countywide)",6339.82743326049
"Durable Plastic Items - #2 and #5 Bulky Rigids","Kern (Countywide)",818.232642820815
"Durable Plastic Items - Other","Kern (Countywide)",3131.5463842318
"Remainder / Composite Plastic","Kern (Countywide)",11079.4621552586
"PETE Plastic Containers","Kings (Countywide)",357.553862643824
"HDPE Plastic Containers","Kings (Countywide)",220.649700764088
"Miscellaneous Plastic Containers","Kings (Countywide)",188.792829854477
"Plastic Trash Bags","Kings (Countywide)",835.424224920313
"Plastic Grocery and Other Merchandise Bags","Kings (Countywide)",117.723143302403
"Non-Bag Commercial and Industrial Packaging Film","Kings (Countywide)",415.98037503754
"Film Products","Kings (Countywide)",21.3400096116224
"Other Film - Other","Kings (Countywide)",1081.23046423004
"Durable Plastic Items - #2 and #5 Bulky Rigids","Kings (Countywide)",137.41734933786
"Durable Plastic Items - Other","Kings (Countywide)",426.33752221173
"Remainder / Composite Plastic","Kings (Countywide)",1642.78183614064
"PETE Plastic Containers","Lake (Countywide)",203.720218954885
"HDPE Plastic Containers","Lake (Countywide)",109.098615134235
"Miscellaneous Plastic Containers","Lake (Countywide)",102.113354912478
"Plastic Trash Bags","Lake (Countywide)",354.625440215778
"Plastic Grocery and Other Merchandise Bags","Lake (Countywide)",82.5027913323808
"Non-Bag Commercial and Industrial Packaging Film","Lake (Countywide)",93.0050707426712
"Film Products","Lake (Countywide)",13.3979319739628
"Other Film - Other","Lake (Countywide)",424.527688979192
"Durable Plastic Items - #2 and #5 Bulky Rigids","Lake (Countywide)",61.6819069417251
"Durable Plastic Items - Other","Lake (Countywide)",200.54526008953
"Remainder / Composite Plastic","Lake (Countywide)",742.374462761119
"PETE Plastic Containers","Lassen (Countywide)",78.3042261359554
"HDPE Plastic Containers","Lassen (Countywide)",53.3510027885448
"Miscellaneous Plastic Containers","Lassen (Countywide)",38.9529327068885
"Plastic Trash Bags","Lassen (Countywide)",151.869088210701
"Plastic Grocery and Other Merchandise Bags","Lassen (Countywide)",30.4714357842664
"Non-Bag Commercial and Industrial Packaging Film","Lassen (Countywide)",37.3914947599265
"Film Products","Lassen (Countywide)",4.15023105443242
"Other Film - Other","Lassen (Countywide)",168.185432869487
"Durable Plastic Items - #2 and #5 Bulky Rigids","Lassen (Countywide)",25.9159988695621
"Durable Plastic Items - Other","Lassen (Countywide)",88.3246057696238
"Remainder / Composite Plastic","Lassen (Countywide)",288.536486401794
"PETE Plastic Containers","Los Angeles (Countywide)",44474.509115388
"HDPE Plastic Containers","Los Angeles (Countywide)",27941.1778874966
"Miscellaneous Plastic Containers","Los Angeles (Countywide)",25679.0398759435
"Plastic Trash Bags","Los Angeles (Countywide)",93586.6583806695
"Plastic Grocery and Other Merchandise Bags","Los Angeles (Countywide)",16905.9371327196
"Non-Bag Commercial and Industrial Packaging Film","Los Angeles (Countywide)",33147.5510109845
"Film Products","Los Angeles (Countywide)",1965.71564474583
"Other Film - Other","Los Angeles (Countywide)",112407.911362746
"Durable Plastic Items - #2 and #5 Bulky Rigids","Los Angeles (Countywide)",16349.2186851871
"Durable Plastic Items - Other","Los Angeles (Countywide)",51577.9039160882
"Remainder / Composite Plastic","Los Angeles (Countywide)",204175.222087559
"PETE Plastic Containers","Madera (Countywide)",328.537550093952
"HDPE Plastic Containers","Madera (Countywide)",214.094747699384
"Miscellaneous Plastic Containers","Madera (Countywide)",168.277980871892
"Plastic Trash Bags","Madera (Countywide)",785.203881928625
"Plastic Grocery and Other Merchandise Bags","Madera (Countywide)",112.96246090925
"Non-Bag Commercial and Industrial Packaging Film","Madera (Countywide)",298.130260737409
"Film Products","Madera (Countywide)",27.0089324345912
"Other Film - Other","Madera (Countywide)",853.497007346703
"Durable Plastic Items - #2 and #5 Bulky Rigids","Madera (Countywide)",110.68617898399
"Durable Plastic Items - Other","Madera (Countywide)",419.852089310626
"Remainder / Composite Plastic","Madera (Countywide)",1509.24645729653
"PETE Plastic Containers","Marin (Countywide)",1138.62803799461
"HDPE Plastic Containers","Marin (Countywide)",753.149740198848
"Miscellaneous Plastic Containers","Marin (Countywide)",655.19571313767
