"material_type","county","material_tons_disposed","material_tons_in_curbside_recycle","material_tons_in_curbside_organics","material_tons_in_other_diversion","material_tons_generated_sum_of_all_streams"
"PETE Plastic Containers","Napa (Countywide)",419.911831973884,191.982360166976,2.02214378653428,62.0264280909017,675.942764018296
"HDPE Plastic Containers","Napa (Countywide)",330.405843704362,99.824341016217,0.365388546216083,5.46835134347548,436.06392461027
"Miscellaneous Plastic Containers","Napa (Countywide)",275.41042604895,92.8334604990744,1.02589845780425,5.37063217670579,374.640417182534
"Plastic Trash Bags","Napa (Countywide)",1519.51423397369,28.2916770543529,0.60871059780211,4.0714371803303,1552.48605880617
"Plastic Grocery and Other Merchandise Bags","Napa (Countywide)",176.836980829335,26.2588525461643,0.191780101533463,0.0206859711785326,203.308299448211
"Non-Bag Commercial and Industrial Packaging Film","Napa (Countywide)",740.537829234137,55.6419271300006,0.494810774143623,32.1020226682373,828.776589806518
"Film Products","Napa (Countywide)",10.2492202941908,11.3630642458869,0.11997291847232,20.10491870436,41.8371761629101
"Other Film - Other","Napa (Countywide)",2034.38504020713,93.687841162276,7.36626571435038,3.50299503692422,2138.94214212068
"Durable Plastic Items - #2 and #5 Bulky Rigids","Napa (Countywide)",189.670555667408,90.105518491948,0,16.7338654403534,296.50993959971
"Durable Plastic Items - Other","Napa (Countywide)",594.286798003464,56.6115572634087,0.116425784022482,6.85014609682568,657.864927147721
"Remainder / Composite Plastic","Napa (Countywide)",2777.65083055463,90.7501799188625,1.91364978212854,18.3655998457475,2888.68026010137
"PETE Plastic Containers","Nevada (Countywide)",172.598997455922,78.6908851669265,0.888366732880606,29.0434024546521,281.221651810381
"HDPE Plastic Containers","Nevada (Countywide)",132.205548374669,44.1873154350746,0.176441084806751,2.36933149385797,178.938636388409
"Miscellaneous Plastic Containers","Nevada (Countywide)",96.0697116225157,47.0363618810699,0.473756056670896,8.04039545464222,151.620225014899
"Plastic Trash Bags","Nevada (Countywide)",620.235913886735,12.3894397805414,0.264160868862049,2.49668769083102,635.386202226969
"Plastic Grocery and Other Merchandise Bags","Nevada (Countywide)",79.8245529275285,12.6179400544093,0.114651049540635,0.00660979061488191,92.5637538220933
"Non-Bag Commercial and Industrial Packaging Film","Nevada (Countywide)",124.557166610715,20.7384478582095,0.200699096856725,19.3855188181907,164.881832383972
"Film Products","Nevada (Countywide)",6.46019548408318,3.24507180498403,0.0544819214305299,11.5869402998287,21.3466895103264
"Other Film - Other","Nevada (Countywide)",649.300940859181,37.4278394096601,3.12251195030788,3.72333280988878,693.574625029037
"Durable Plastic Items - #2 and #5 Bulky Rigids","Nevada (Countywide)",49.9433141611227,37.0159988203279,0,2.4446596214158,89.4039726028665
"Durable Plastic Items - Other","Nevada (Countywide)",270.952640459297,16.7400087820212,0.0676143630038902,6.8761115544706,294.636375158793
"Remainder / Composite Plastic","Nevada (Countywide)",1171.91999304886,42.9195795333904,0.864118968547082,9.59377132239226,1225.29746287319
"PETE Plastic Containers","Orange (Countywide)",9102.63453885923,4316.55270030236,49.9835150656326,1080.39441282553,14549.5651670527
"HDPE Plastic Containers","Orange (Countywide)",7019.43202860524,2192.03359432103,5.79953927932892,158.805354634364,9376.07051683997
"Miscellaneous Plastic Containers","Orange (Countywide)",5237.39994801062,3193.22472394289,24.242816477596,425.8768789148,8880.74436734591
"Plastic Trash Bags","Orange (Countywide)",32845.5171393598,590.131687241272,14.8039395278984,62.0196849872085,33512.4724511161
"Plastic Grocery and Other Merchandise Bags","Orange (Countywide)",4481.76327639887,740.251079998964,2.76921223497104,0.557952094014919,5225.34152072682
"Non-Bag Commercial and Industrial Packaging Film","Orange (Countywide)",9099.36092273441,1771.39047676426,9.6768338699297,498.694668543452,11379.1229019121
"Film Products","Orange (Countywide)",202.122905964328,129.073928628712,1.87551594550629,285.782744878606,618.855095417153
"Other Film - Other","Orange (Countywide)",36456.6607903412,1800.32113242038,141.774516415653,142.366988454468,38541.1234276317
"Durable Plastic Items - #2 and #5 Bulky Rigids","Orange (Countywide)",3305.5109447548,1971.53542384572,0,165.538078377213,5442.58444697773
"Durable Plastic Items - Other","Orange (Countywide)",16676.9699348257,954.678112738864,6.06682005031862,345.770080080637,17983.4849476956
"Remainder / Composite Plastic","Orange (Countywide)",70797.8612209033,2809.12028463548,31.1951736994957,681.713758240667,74319.8904374789
"PETE Plastic Containers","Placer (Countywide)",908.218138560258,358.6603621513,4.90940153028285,105.855437659933,1377.64333990177
"HDPE Plastic Containers","Placer (Countywide)",703.186107980204,205.737895768608,0.733127313148528,12.3078743495962,921.965005411556
"Miscellaneous Plastic Containers","Placer (Countywide)",477.968740734329,262.103991868197,2.48201308913415,40.1459199393184,782.700665630978
"Plastic Trash Bags","Placer (Countywide)",3275.62850890217,53.1603792826234,1.48146716148689,8.30494333369183,3338.57529867997
"Plastic Grocery and Other Merchandise Bags","Placer (Countywide)",396.926791236395,82.7342051995144,0.369588438281432,0.0421838852007225,480.072768759391
"Non-Bag Commercial and Industrial Packaging Film","Placer (Countywide)",765.838829291266,146.433968101133,1.05465562327028,68.1535038899251,981.480956905594
"Film Products","Placer (Countywide)",22.4959704261089,12.5154037526013,0.238790028481516,36.7401351005177,71.9902993077094
"Other Film - Other","Placer (Countywide)",3539.36950733611,147.792604177106,15.7081772785989,18.8248000689097,3721.69508886073
"Durable Plastic Items - #2 and #5 Bulky Rigids","Placer (Countywide)",295.439954121462,167.435866420969,0,12.1716729456252,475.047493488056
